epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1224.03,0.6371,0.41281,1.03765,0.96046,0.93421,0.95784,0.69785,0.77705,0.42107,1.16057,0.000940855,0.000940855,0.000940855
134,1232.95,0.62621,0.40841,1.04857,0.97368,0.89624,0.95735,0.6937,0.77565,0.42967,1.16315,0.000935354,0.000935354,0.000935354
135,1242.35,0.66572,0.42278,1.05629,0.96505,0.8957,0.94703,0.67586,0.76668,0.4591,1.15981,0.000929853,0.000929853,0.000929853
136,1251.56,0.64926,0.42236,1.04328,0.9826,0.89474,0.97071,0.70516,0.76085,0.40077,1.13581,0.000924352,0.000924352,0.000924352
137,1262.81,0.64153,0.41992,1.03926,0.94965,0.92105,0.96378,0.70604,0.75086,0.40123,1.13405,0.00091885,0.00091885,0.00091885
138,1272.19,0.65081,0.41537,1.05259,0.91956,0.97368,0.96958,0.71136,0.76378,0.38464,1.15573,0.000913349,0.000913349,0.000913349
139,1281.7,0.63841,0.41156,1.04267,0.96828,0.93421,0.97544,0.708,0.77539,0.41175,1.16567,0.000907848,0.000907848,0.000907848
140,1291.67,0.63508,0.41736,1.03779,0.94268,0.92061,0.96309,0.69625,0.75836,0.42348,1.13757,0.000902347,0.000902347,0.000902347
141,1299.65,0.6847,0.43391,1.05506,0.94466,0.93421,0.97043,0.70597,0.76908,0.39777,1.12894,0.000896846,0.000896846,0.000896846
142,1309.38,0.67097,0.43856,1.06201,0.99444,0.93421,0.9775,0.71169,0.75697,0.37152,1.12445,0.000891345,0.000891345,0.000891345
143,1318.67,0.61228,0.38962,1.01111,0.9969,0.9314,0.98259,0.72698,0.78045,0.37936,1.15048,0.000885844,0.000885844,0.000885844
144,1327.42,0.62807,0.40226,1.0187,0.96887,0.97368,0.98366,0.72195,0.75705,0.3824,1.1434,0.000880343,0.000880343,0.000880343
145,1336.11,0.5978,0.37792,1.0274,0.99649,0.96348,0.983,0.73122,0.76744,0.37065,1.14504,0.000874842,0.000874842,0.000874842
146,1345.12,0.62689,0.40332,1.03124,0.94531,0.96924,0.97897,0.7239,0.76826,0.3983,1.15283,0.00086934,0.00086934,0.00086934
147,1353.84,0.61985,0.42467,1.03749,0.9858,0.92105,0.97752,0.72373,0.77231,0.38786,1.1613,0.000863839,0.000863839,0.000863839
148,1362.03,0.6436,0.40974,1.04425,0.9685,0.94255,0.97135,0.71336,0.74098,0.38649,1.12856,0.000858338,0.000858338,0.000858338
149,1370.94,0.67586,0.41908,1.05952,0.95535,0.94323,0.97033,0.72358,0.74913,0.38401,1.12934,0.000852837,0.000852837,0.000852837
150,1379.98,0.63752,0.39685,1.03695,0.98208,0.9354,0.96194,0.72569,0.7519,0.39127,1.12642,0.000847336,0.000847336,0.000847336
151,1389.71,0.63179,0.40915,1.04715,0.95372,0.93001,0.95917,0.70315,0.76581,0.39159,1.1431,0.000841835,0.000841835,0.000841835
152,1397.8,0.60721,0.39857,1.02908,0.97286,0.89474,0.95831,0.69758,0.77018,0.40544,1.13101,0.000836334,0.000836334,0.000836334
153,1406.19,0.62672,0.38179,1.02372,0.96194,0.92472,0.97264,0.71417,0.74553,0.37831,1.11475,0.000830833,0.000830833,0.000830833
154,1415.12,0.61282,0.38906,1.01956,0.94436,0.94737,0.97865,0.71724,0.73986,0.3613,1.11914,0.000825332,0.000825332,0.000825332
155,1425.17,0.58343,0.38552,1.01812,0.98228,0.93194,0.97234,0.71411,0.77403,0.36867,1.13956,0.000819831,0.000819831,0.000819831
156,1432.6,0.5941,0.38976,1.00914,0.94218,0.96053,0.96962,0.71803,0.75124,0.37659,1.13121,0.000814329,0.000814329,0.000814329
